age_window,drip_DET_med,drip_DET_p5,drip_DET_p95,drip_TRANS_med,drip_TRANS_p5,drip_TRANS_p95,d18O_DET_med,d18O_DET_p5,d18O_DET_p95,d18O_TRANS_med,d18O_TRANS_p5,d18O_TRANS_p95
7393.5,0.7234432234432234,0.6367352500340646,0.8022851869945176,0.3891333100115798,0.313667084086927,0.47948908802909856,0.7359020563917744,0.6714089438461197,0.7950119047619048,0.4057015758677994,0.3112751174892666,0.510196948107765
7398.5,0.7275035958288385,0.6449282178217822,0.8035487818444765,0.3894016043370684,0.3206949547732046,0.46230630506449794,0.7313639968279143,0.6768189102564103,0.7904003602423448,0.3971273852501289,0.3212112481739977,0.5235406806400721
7403.5,0.7234595306630238,0.6345747562296857,0.8100263157894737,0.3925189955095537,0.3150968658701701,0.4647209143225079,0.7354245283018868,0.66828231292517,0.7905837173579109,0.3956322915166355,0.3094941400205648,0.526448362720403
7408.5,0.7180851063829787,0.6376378974691758,0.8056941057378181,0.3897067450734538,0.3205351629502573,0.4669051364597249,0.7350506294471812,0.6717171717171717,0.7962236856607516,0.3962161523733745,0.3107981220657277,0.5084228951843799
7413.5,0.7234169145771356,0.6302222010526566,0.7934465901940855,0.39023874732079067,0.31137233116376,0.4840451154529307,0.7364853896103896,0.6634086766314254,0.7989973792407011,0.3975787868183529,0.31277997364953886,0.5007053361450607
7418.5,0.7204060913705583,0.6407691140776699,0.7952985436893203,0.38760796859095537,0.31853741262480845,0.4694817236215839,0.7368421052631579,0.6616018890319973,0.7916968599033816,0.3964372298935386,0.3041246152237595,0.4907632783955837
7423.5,0.7182858910891089,0.6358759631173424,0.8075762169910138,0.3882202715541948,0.3153835348734309,0.467371611337651,0.7340136054421769,0.6632526056206961,0.7900408163265307,0.3896977033304979,0.30058370055007905,0.483396517290013
7428.5,0.7149859943977591,0.6412061794414736,0.8022946759065988,0.3920132137146827,0.31549458874662323,0.46953901241660245,0.7299289099526066,0.659551812226522,0.7954294615042278,0.3921771026065505,0.2933305696255237,0.48257784051512137
7433.5,0.720397744590064,0.641387633238462,0.806282722513089,0.3909127706941915,0.31580783564009274,0.47130065273427757,0.7292109187870023,0.6598502415458938,0.7962085308056872,0.38090015614734973,0.29684002869440457,0.4730302995699921
7438.5,0.7157627571466738,0.6471752680129644,0.8122952535454497,0.38876660830279275,0.3111275265849501,0.47214804556102147,0.7350799086757991,0.6572633870857999,0.7979787234042552,0.38717653867474267,0.2988711856772886,0.4750256975399547
7443.5,0.7122926093514329,0.6427849927849928,0.8124736725418465,0.3889630078835658,0.3135842507046701,0.4644845992186795,0.7291304347826086,0.6452301131180441,0.7876602127079356,0.38859089406919695,0.2894966422086805,0.46925331431299844
7448.5,0.7248188405797101,0.632947434292866,0.8196082474226803,0.3895415747827215,0.30503963394986144,0.4674043831369025,0.7286073223259153,0.6549030612244898,0.7864593593171052,0.3830478032605692,0.29443971080759596,0.47073689506906957
7453.5,0.7285714285714285,0.6267723880597015,0.8252499999999998,0.38888020808010426,0.3164815484568157,0.46795789266533777,0.7303135253372219,0.67,0.7872341606357945,0.38189248438206186,0.30494772809820037,0.4621689051666688
7458.5,0.7270384254920337,0.6357087817191444,0.8184185606060606,0.38604848512648793,0.3148262900263811,0.47682160412052643,0.7283410138248847,0.6618732394366197,0.7857308970099668,0.37754405312651784,0.3070764517246052,0.462539149888143
7463.5,0.7357512953367875,0.6351973778375748,0.8182839632277835,0.38382632668143646,0.31848351355714194,0.47207564483060205,0.7272643994045573,0.6650233990147782,0.787258258536134,0.37591239811189747,0.3126330020776656,0.4637650665976806
