age,pc05,pc10,pc25,pc50,pc75,pc90,pc95
5117,6.8780171911411845,7.408408723704326,9.411762367243552,13.3226621015609,18.55228446272684,21.53014411598116,22.692325176930964
5118,6.87290183930626,7.3970137160622755,9.37138691175748,13.262458736572258,18.501361173518102,21.507347496841856,22.67648286547484
5119,6.867924479782387,7.386005500487774,9.332334513226646,13.203015062533614,18.44721342802243,21.484510224654816,22.660596485265494
5120,6.863080704584595,7.375292727718202,9.294541180363886,13.144345212146716,18.389840700079088,21.461603607943907,22.64469229645698
5121,6.85836630921473,7.364866098842793,9.258010502726863,13.086410648580408,18.33221472194684,21.4386471853349,22.628797466790303
5122,6.853777281808049,7.35471674098995,9.222673886513606,13.0291765264748,18.27583514494314,21.415646307311256,22.612859524078083
5123,6.8493169219375885,7.34488657187101,9.188430841232917,12.972627527136789,18.22070023340845,21.392589467163575,22.5968899914241
5124,6.845012241189909,7.335360597941597,9.155270546767918,12.916749735518662,18.1668075397632,21.369514571698225,22.580923097744133
5125,6.840820768102811,7.326085145081345,9.123202627502064,12.861530573327666,18.114153963198333,21.34638036483781,22.56491678860117
5126,6.83673919971359,7.317052904052136,9.09208279676889,12.806958734918377,18.062735803106808,21.32325613840461,22.548876306272906
5127,6.832764378898315,7.308256888347413,9.061961944436508,12.753024125789311,18.012548807380913,21.30007211480052,22.53283984204086
5128,6.828893286944265,7.299693455325706,9.03277009359404,12.699719549906444,17.963588215729285,21.27723250507833,22.516770939155844
5129,6.825123036561656,7.291432003702562,9.00443455276087,12.647050351026111,17.915848798191156,21.25432623679351,22.50067320062942
5130,6.8214508653078045,7.283385465121057,8.977027611898698,12.594991075065126,17.869324889046297,21.23171929766862,22.48458839022307
5131,6.817874129398612,7.275548046466089,8.950368649535761,12.543535902113897,17.82401041633521,21.20912308248185,22.468483501655943
5132,6.814390297883896,7.267914201866598,8.924614721813109,12.492785670711356,17.779885332258097,21.18670547089534,22.4523617326929
5133,6.8109969471646,7.260478620681556,8.899536546764658,12.443555522318148,17.736827986398303,21.164381046316272,22.43625997831614
5134,6.807691755831323,7.253236216190054,8.875309930754812,12.396386327058549,17.69469433945185,21.142129082201,22.420156272300044
5135,6.804472499804971,7.246219784403645,8.851713209196634,12.350396742544731,17.653535078531363,21.120055500186577,22.404051179025213
5136,6.801337047761531,7.239417104209608,8.828909038492249,12.305531130065532,17.613347285102734,21.09794467521056,22.387981171969933
5137,6.798301192402183,7.232791813001011,8.806713502698782,12.261734796102528,17.573519057215258,21.07594249203896,22.371932028278504
5138,6.795358202187547,7.226339661644446,8.78522350083352,12.218977337891095,17.53392253546585,21.05391528762321,22.35590080190793
5139,6.79249232705625,7.220056575814195,8.76435165587413,12.177229610085751,17.494521968283774,21.03195279359856,22.339933410486363
5140,6.789701784779986,7.213938648189495,8.744078976875722,12.13646366391045,17.455159269454228,21.010016263507385,22.324021960482096
5141,6.786984865954644,7.207982131107845,8.72445938183371,12.096652689673798,17.417052343750395,20.98815588270628,22.30815264408404
5142,6.784339930845397,7.202183429648261,8.705359600393132,12.057821581181846,17.380159999785008,20.96638266795931,22.292363396632755
5143,6.781765406416745,7.19657343409923,8.686880757370293,12.019923183329276,17.34446763108094,20.944696943694723,22.276665121974
5144,6.779259783537069,7.191134662010552,8.668940803480867,11.982911976492051,17.31000875006962,20.923162057635743,22.261036570696746
5145,6.776821614347965,7.185842306708112,8.651483809780052,11.946765111865597,17.276754887664126,20.901732123989326,22.24550487541888
5146,6.774449509789229,7.180693353060646,8.634632226719349,11.911536097383124,17.244667023606645,20.88002251655754,22.23010482731068
5147,6.772142137270971,7.175684908512873,8.618252832449938,11.877155733683011,17.21379862000713,20.858429952200694,22.21480521797645
5148,6.769898218484921,7.170814198334651,8.602323878536168,11.843582462645356,17.184103540684802,20.8365890379508,22.199618527948616
5149,6.767716527347478,7.166078561156091,8.586949635392012,11.810868335523828,17.155571476287108,20.814683309293372,22.18461049615069
5150,6.765595888067555,7.161475444773592,8.572025007436384,11.778971307590185,17.128246694963654,20.792777212591915,22.16973644413922
5151,6.763535173332768,7.157002402212719,8.557522116241946,11.74783084390592,17.102052071115,20.77065093167836,22.155008305778768
5152,6.76153330260791,7.152657088034831,8.543489986525092,11.717545934576105,17.077077414947166,20.74878705278822,22.140474744414195
5153,6.759589240540092,7.148452847963356,8.529926062930727,11.688003616094337,17.053223327701318,20.72655155153957,22.126130259571514
5154,6.757701995465302,7.144397218258506,8.516758557416347,11.659234769113624,17.030580130977686,20.70469550812976,22.11196848072617
