age,pc05,pc10,pc25,pc50,pc75,pc90,pc95
9233,17.37084706989421,17.394009836074638,17.44338092948311,17.509502181813176,17.583795592290844,17.641236288314992,17.668232215860684
9234,17.370919496907927,17.394078451511707,17.443419993851172,17.509524971465623,17.58380899136041,17.641243058338823,17.668237444017603
9235,17.370989659506133,17.394144921691375,17.44345783686751,17.509547048596268,17.58382197150612,17.64124961669687,17.668242508715437
9236,17.37105761698901,17.39420930279397,17.443494490517544,17.509568431865084,17.583834543699005,17.641255968932377,17.668247414234955
9237,14.896307768933093,15.09143599754952,15.605439994001188,16.266623699625015,16.94207629854835,17.35327428890779,17.494002908510126
9238,14.897888475470504,15.093130620985805,15.607680846307463,16.270215586609826,16.943741378755405,17.35389479573499,17.494301041880473
9239,14.89942275537824,15.094770670942989,15.609910736882021,16.273772508762097,16.94540396234634,17.354528667404505,17.494608843665716
9240,14.900915638129257,15.09635466734579,15.612125779870563,16.277288331154512,16.947058950881818,17.355171105060663,17.4949233457407
9241,14.90236466656242,15.097881241631097,15.614322097083086,16.280757369792216,16.948701841630015,17.355818043422808,17.49524204814246
9242,14.903766273002526,15.09934912459548,15.616495790933717,16.28417432584804,16.950330333124118,17.356466022792613,17.495562838098394
9243,14.905120298544336,15.10076150529244,15.61864292213949,16.287534230226832,16.951945760669915,17.357112082953037,17.495883922452172
9244,14.906426619032242,15.102116324115036,15.620759491428496,16.290832396505568,16.953538116522527,17.35775367534052,17.496203771461857
9245,14.907685142868173,15.103408805146607,15.622841424632913,16.29406438062215,16.955104418581335,17.358388590405863,17.496521072173906
9246,14.908895809671407,15.104638004947459,15.624884560653106,16.297225945966574,16.95664192348268,17.359014897554534,17.496834689808562
9247,14.91005858962332,15.105803056515914,15.626884641876584,16.300314716907867,16.95814808618457,17.359630895473323,17.49714363581215
9248,14.911171906210539,15.106899941173033,15.628831591670261,16.303329085874434,16.959604534244814,17.360215372135155,17.49743475847271
9249,14.912239247356313,15.107935020143652,15.630733433263437,16.306273388663342,16.961044095299446,17.360810185404652,17.497734248226728
9250,14.913147261096103,15.108675524974512,15.631688094498472,16.30777665712094,16.96179452748965,17.361114585219646,17.497886505300574
9251,14.913807077394825,15.108938810390804,15.630950776758345,16.306735042300012,16.961334542431043,17.360918397213016,17.4977866202839
9252,14.914420638261872,15.109137469930838,15.630125215503568,16.305597246667308,16.960831057231573,17.360704524751277,17.497677878370556
9253,14.91498839031352,15.109271697546674,15.629210559278633,16.304360663621793,16.960284634003447,17.360475116091898,17.49756170677509
9254,14.915510359507262,15.109340840632916,15.628204439626487,16.30301961422767,16.95969139238677,17.36022691663456,17.497436171597144
9255,14.91598673516324,15.109344595323925,15.627105112540793,16.30156922367408,16.959048920759777,17.35995854847873,17.497300510886742
9256,14.91641775616925,15.109282773485441,15.6259110443902,16.30000464206051,16.958355110096594,17.35966908087143,17.497154245704024
9257,14.9168036633172,15.109155205024287,15.624620740943211,16.29832968600443,16.957607651601077,17.359357416848862,17.496996798082687
