depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95,censored,drip_upper_bound,pc50_for_continuity
113.6,10.954525478883047,11.338119644826111,12.03179483273314,12.891457439931036,13.861632834435277,14.847490748490117,15.49706433952676,0,,12.891457439931036
114.1,15.72652588203318,16.45576927564153,17.814335446312505,19.571768699316102,21.660157247370144,23.90550507240325,25.458167882116022,0,,19.571768699316102
114.6,13.41684699770558,13.968588704578483,14.982672688283785,16.268314011130048,17.75909215492687,19.318984641333312,20.372871699508035,0,,16.268314011130048
115.1,13.692777816929413,14.262505225606498,15.310775736266084,16.642160135338607,18.18948195095369,19.81236368683106,20.910958280055667,0,,16.642160135338607
115.6,13.581891766206342,14.145997855678155,15.183862471526108,16.501706697311064,18.03279962653149,19.638125085456597,20.72395549432253,0,,16.501706697311064
116.1,14.088016766238852,14.687836473550798,15.7943746976199,17.20499993913636,18.851705909731542,20.5873952553051,21.76695866376121,0,,17.20499993913636
116.6,15.910834834515564,16.652006032877267,18.033606116282563,19.82235953310898,21.950146227838697,24.240541107598204,25.825574289207783,0,,19.82235953310898
117.1,14.170107849813853,14.77484032261167,15.890603982691054,17.313498931890535,18.97532422245441,20.727773358385672,21.919539633522295,0,,17.313498931890535
117.6,12.976104958425552,13.494342172039286,14.443794482513468,15.642130289443092,17.024238081318664,18.461919999304445,19.42808818648253,0,,15.642130289443092
118.1,12.072999229472874,12.532564313129152,13.370452010822074,14.42054243623438,15.621550494490757,16.85965521448224,17.685361365537876,0,,14.42054243623438
118.6,13.67803919025492,14.249404337260478,15.301264699753595,16.63807638058482,18.192785372653667,19.824867814687007,20.93071574243637,0,,16.63807638058482
119.1,13.637411186388368,14.204311857250122,15.247369302450206,16.571991939022062,18.11114863773341,19.72523417710952,20.817625556595587,0,,16.571991939022062
119.6,14.262967351116638,14.877917422309038,16.013912519343172,17.46506651683568,19.16341874045618,20.95848644021133,22.18087561493134,0,,17.46506651683568
120.1,13.433469278681349,13.98382441644389,14.994796523938112,16.275701378531725,17.760010700994105,19.311888768101287,20.359412136832177,0,,16.275701378531725
120.6,13.076036652751943,13.60280064056185,14.568682505619904,15.789325319332733,17.199398842565977,18.66874925072596,19.65747533923013,0,,15.789325319332733
121.1,15.154432803605516,15.836044758078204,17.101162280901644,18.728811476944863,20.650293912059023,22.70085158893997,24.10961703873003,0,,18.728811476944863
121.6,14.645535403258314,15.287593715481067,16.47589131126509,17.9980548549894,19.785436592744585,21.681576905147228,22.977871331912617,0,,17.9980548549894
122.1,13.8993413331891,14.487576490939093,15.571995186428074,16.95311267024957,18.563342334835852,20.25842975777629,21.40981299134816,0,,16.95311267024957
122.6,14.0822332299959,14.683054140034034,15.791753059965014,17.205659071079292,18.856845800414774,20.59807189861913,21.781923803642535,0,,17.205659071079292
123.1,13.255652691433738,13.795542500454031,14.786659164866848,16.041277755378754,17.49351565095846,19.01008146515057,20.032863917451703,0,,16.041277755378754
123.6,14.537196953889811,15.170611233559056,16.34217199187353,17.841413249951657,19.599659147591584,21.46248943609383,22.73381643223328,0,,17.841413249951657
124.1,13.807046774237469,14.38676600249216,15.454613954695295,16.812902513517702,18.39423404948017,20.056085264253102,21.18230457244053,0,,16.812902513517702
124.59,14.897544588521486,15.55821108587058,16.782508576743,18.35385827930517,20.20342024930113,22.170741327354968,23.518523363967784,0,,18.35385827930517
125.07,13.67803919025492,14.249404337260478,15.301264699753595,16.63807638058482,18.192785372653667,19.824867814687007,20.93071574243637,0,,16.63807638058482
125.56,13.702246413391244,14.275492780406411,15.330880041064049,16.67250372038248,18.233287826763515,19.872274126224134,20.982814441091964,0,,16.67250372038248
126.04,14.03137694475491,14.628313138685456,15.729390154666302,17.132903915606416,18.77111132451358,20.497572718001276,21.67035394333315,0,,17.132903915606416
126.52,13.338593057082182,13.885937065105022,14.891561428204518,16.16603337533673,17.64341457779906,19.188545512092197,20.23126303085432,0,,16.16603337533673
127.01,13.60578120060227,14.17172536296866,15.213057795654182,16.535602221704107,18.072515732195274,19.68445019572172,20.77526784063309,0,,16.535602221704107
127.52,14.351347980559812,14.97015687428486,16.113293100256346,17.57356906381162,19.282535987761435,21.08883424114607,22.31935679688666,0,,17.57356906381162
128.05,14.184955607769798,14.7938335566204,15.917980220614066,17.352962327825022,19.03082294043616,20.802474541929183,22.00856338901519,0,,17.352962327825022
128.59,15.54140865050176,16.254962761343304,17.58286092806268,19.29766364115205,21.331105440503237,23.51199475712108,25.016867470391723,0,,19.29766364115205
129.12,13.702246413391244,14.275492780406411,15.330880041064049,16.67250372038248,18.233287826763515,19.872274126224134,20.982814441091964,0,,16.67250372038248
129.65,14.95179086700047,15.61851486476352,16.85479991777979,18.44310045679702,20.31470018044781,22.307968363572485,23.67526724979389,0,,18.44310045679702
130.19,14.03137694475491,14.628313138685456,15.729390154666302,17.132903915606416,18.77111132451358,20.497572718001276,21.67035394333315,0,,17.132903915606416
130.73,13.782584729118897,14.360465856856075,15.424671734504104,16.778062587370844,18.35328754126292,20.00824129561469,21.129478454077717,0,,16.778062587370844
131.28,13.993296861593638,14.584410222874874,15.673819740730494,17.060895030701296,18.677567757029102,20.378742237245863,21.53318121494455,0,,17.060895030701296
131.83,14.47950366301751,15.109884839265668,16.27576425331077,17.767576511469066,19.516922585413656,21.369962923730064,22.63446001114131,0,,17.767576511469066
132.38,11.370166643530572,11.783868096983072,12.534882510612444,13.470254940828234,14.53218472013174,15.618135746628363,16.337713543671587,0,,13.470254940828234
132.93,17.637781956277937,18.52866644209157,20.206452097871523,22.41234482213491,25.087229047939296,28.02972841605618,30.105334350911864,0,,22.41234482213491
133.48,14.113440673063018,14.715265225391729,15.825612375941342,17.24140873162114,18.89464071497145,20.637723811337334,21.822930954423967,0,,17.24140873162114
134.08,13.849488740724029,14.433929528005722,15.511008171781064,16.882091661624933,18.47975792926527,20.160542741791936,21.30122434919934,0,,16.882091661624933
134.71,15.095219757346916,15.773585775379969,17.032746673315582,18.65260533957661,20.564533929686124,22.604631502364995,24.0055408091976,0,,18.65260533957661
