Depth (cm),Ni (ppm),Co (ppm)
229.29,2.94,0.24
229.76,2.59,0.21
230.36,2.93,0.23
230.96,3.04,0.23
231.56,2.93,0.21
232.16,2.84,0.22
232.76,2.72,0.21
233.36,3.06,0.24
233.96,2.87,0.22
234.56,3,0.19
235.16,3.02,0.21
235.76,2.56,0.21
236.3,2.84,0.23
236.75,3.2,0.22
237.2,3.07,0.23
237.65,3.08,0.22
238.1,3.28,0.25
238.55,3.02,0.22
239,3.17,0.24
239.45,3.15,0.24
239.9,2.98,0.23
240,3.66,0.35
240.17,2.72,0.21
240.5,3.75,0.35
241.5,4.14,0.39
242.3,3.8,0.37
242.8,4.02,0.37
243.3,3.51,0.4
243.8,3.23,0.49
244.2,3.29,0.36
244.6,3.24,0.36
245.2,3.2,0.39
245.8,3.21,0.37
246.3,3.27,0.34
246.8,3.08,0.31
247.3,3.15,0.3
247.8,2.95,0.31
248.3,3.08,0.31
248.8,3.22,0.3
249.2,2.95,0.32
249.7,2.85,0.33
250.2,2.86,0.3
250.7,2.96,0.32
251.2,2.99,0.33
251.7,2.6,0.32
252.4,2.66,0.3
252.9,3.03,0.34
253.5,4.48,0.53
255.5,3.93,0.46
